Retailer,Product ID,Title,Brand,Count,Size,Color,Grade,Organic,Housing,Covered ZIPs,Covered Stores,Min Price,Avg Price,Max Price,Offer Rows,Priced Rows,URL
Albertsons,960100459,Vital Farms Eggs Large - 12 Count,Vital Farms,12,Large,Unknown,Unknown,false,Conventional/Unspecified,335,745,9.49,9.49,9.49,745,745,https://www.albertsons.com/shop/product-details.960100459.html
Albertsons,960077058,Eggland's Best 100% USDA Organic Certified Large Brown Eggs - 12 Count,Eggland's Best,12,Large,Brown,Unknown,true,Conventional/Unspecified,334,743,8.99,8.99,8.99,743,743,https://www.albertsons.com/shop/product-details.960077058.html
Albertsons,138350144,Eggland's Best Cage Free Large Brown Eggs - 12 Count,Eggland's Best,12,Large,Brown,Unknown,false,Cage-Free,334,743,6.99,6.989999999999999,6.99,743,743,https://www.albertsons.com/shop/product-details.138350144.html
Albertsons,960100476,Happy Egg Co. Eggs Free Range Large - 12 Count,Happy Egg,12,Large,Unknown,Unknown,false,Free-Range,334,743,7.49,7.489999999999999,7.49,743,743,https://www.albertsons.com/shop/product-details.960100476.html
Albertsons,960559633,Vital Farms Pasture-Raised Eggs - Large - 18 Count,Vital Farms,18,Large,Unknown,Unknown,false,Pasture-Raised,333,741,11.99,11.99,11.99,741,741,https://www.albertsons.com/shop/product-details.960559633.html
Albertsons,960096423,O Organics Organic Eggs Large Brown - 18 Count,O Organics,18,Large,Brown,Unknown,true,Conventional/Unspecified,306,596,6.99,6.99,6.99,596,596,https://www.albertsons.com/shop/product-details.960096423.html
Albertsons,971311473,Pete & Gerry's Organic Pasture Raised Large Eggs - 12 Count,Pete & Gerry's,12,Large,Unknown,Unknown,true,Pasture-Raised,288,645,8.99,8.99,8.99,645,645,https://www.albertsons.com/shop/product-details.971311473.html
Albertsons,960106661,Pete & Gerrys Organic Eggs Free Range Large - 12 Count,Pete & Gerry's,12,Large,Unknown,Unknown,true,Free-Range,287,646,7.49,7.49,7.49,646,646,https://www.albertsons.com/shop/product-details.960106661.html
Albertsons,960120619,Nellies Eggs Free Range Grade A Brown Large - 12 Count,Nellie's,12,Large,Brown,A,false,Free-Range,285,643,6.49,6.489999999999999,6.49,643,643,https://www.albertsons.com/shop/product-details.960120619.html
Albertsons,970115360,Eggland's Best Cage Free Large White Eggs - 12 Count,Eggland's Best,12,Large,White,Unknown,false,Cage-Free,278,626,6.99,6.989999999999999,6.99,626,626,https://www.albertsons.com/shop/product-details.970115360.html
Albertsons,960454622,Vital Farms Organic Eggs Pasture Raised Large Grade A Tray - 12 Count,Vital Farms,12,Large,Unknown,A,true,Pasture-Raised,273,597,11.99,11.99,11.99,597,597,https://www.albertsons.com/shop/product-details.960454622.html
Albertsons,960494107,Eggland's Best Cage Free Large Brown Eggs - 18 Count,Eggland's Best,18,Large,Brown,Unknown,false,Cage-Free,272,613,9.99,9.99,9.99,613,613,https://www.albertsons.com/shop/product-details.960494107.html
Albertsons,138350308,O Organics Organic Eggs Large Brown - 12 Count,O Organics,12,Large,Brown,Unknown,true,Conventional/Unspecified,268,587,5.99,5.99,5.99,587,587,https://www.albertsons.com/shop/product-details.138350308.html
Albertsons,970745627,Open Nature Eggs Heirloom Free Range Grade A - 12 Ct,Open Nature,12,Unknown,Unknown,A,false,Free-Range,254,557,6.99,6.99,6.99,557,557,https://www.albertsons.com/shop/product-details.970745627.html
Albertsons,960455228,Open Nature Eggs Brown Free Range Large - 18 Count,Open Nature,18,Large,Brown,Unknown,false,Free-Range,251,549,4.99,4.99,4.99,549,549,https://www.albertsons.com/shop/product-details.960455228.html
Albertsons,960453266,Open Nature Eggs Brown Free Range Large - 12 Count,Open Nature,12,Large,Brown,Unknown,false,Free-Range,244,537,3.99,3.99,3.99,537,537,https://www.albertsons.com/shop/product-details.960453266.html
Albertsons,960225640,Happy Eggs Free Range Organic - 12 Count,Happy Egg,12,Unknown,Unknown,Unknown,true,Free-Range,242,522,8.49,8.49,8.49,522,522,https://www.albertsons.com/shop/product-details.960225640.html
Albertsons,970064495,O Organics Eggs Brown Pasture Raised Large Grade A - Dozen,O Organics,12,Large,Brown,A,true,Pasture-Raised,242,533,7.99,7.99,7.99,533,533,https://www.albertsons.com/shop/product-details.970064495.html
Albertsons,960304347,Lucerne Farms Eggs Cage Free Extra Large - 12 Count,Lucerne,12,Extra Large,Unknown,Unknown,false,Cage-Free,225,496,3.29,3.29,3.29,496,496,https://www.albertsons.com/shop/product-details.960304347.html
Albertsons,960304348,Lucerne Farms Eggs Cage Free Large - 18 Count,Lucerne,18,Large,Unknown,Unknown,false,Cage-Free,225,496,4.19,4.19,4.19,496,496,https://www.albertsons.com/shop/product-details.960304348.html
Albertsons,960273951,Lucerne Farms Eggs Large Cage Free - 12 Count,Lucerne,12,Large,Unknown,Unknown,false,Cage-Free,225,496,2.99,2.99,2.99,496,496,https://www.albertsons.com/shop/product-details.960273951.html
Albertsons,970116262,Lucerne Cage Free Grade A Large Eggs - 60 Count,Lucerne,60,Large,Unknown,A,false,Cage-Free,224,492,9.99,9.99,9.99,492,492,https://www.albertsons.com/shop/product-details.970116262.html
Albertsons,960482648,Happy Egg Eggs Heritage Breed Blue And Brown Large - 12 Count,Happy Egg,12,Large,Brown,Unknown,false,Conventional/Unspecified,221,495,8.49,8.49,8.49,495,495,https://www.albertsons.com/shop/product-details.960482648.html
Albertsons,960309878,Lucerne Farms Eggs Cage Free Jumbo - 12 Count,Lucerne,12,Jumbo,Unknown,Unknown,false,Cage-Free,203,450,3.79,3.79,3.79,450,450,https://www.albertsons.com/shop/product-details.960309878.html
Albertsons,960307212,Nellies Eggs Free Range Large Brown - 18 Count,Nellie's,18,Large,Brown,Unknown,false,Free-Range,179,409,7.99,7.990000000000001,7.99,409,409,https://www.albertsons.com/shop/product-details.960307212.html
Albertsons,971101534,Happy Egg Free Range - 18 CT,Happy Egg,18,Unknown,Unknown,Unknown,false,Free-Range,154,315,8.99,8.99,8.99,315,315,https://www.albertsons.com/shop/product-details.971101534.html
Albertsons,970115353,Eggland's Best Cage Free Large White Eggs - 18 Count,Eggland's Best,18,Large,White,Unknown,false,Cage-Free,149,344,8.49,8.49,8.49,344,344,https://www.albertsons.com/shop/product-details.970115353.html
Albertsons,960079385,Open Nature Eggs Cage Free Large Grade A Brown - 18 Count,Open Nature,18,Large,Brown,A,false,Cage-Free,120,269,5.49,5.49,5.49,269,269,https://www.albertsons.com/shop/product-details.960079385.html
Albertsons,138350091,Lucerne Eggs Large Grade A Family Pack - 18 Count,Lucerne,18,Large,Unknown,A,false,Conventional/Unspecified,113,255,2.39,2.39,2.39,255,255,https://www.albertsons.com/shop/product-details.138350091.html
