retailer,retailer_name,raw_rows,collected_zips,collected_stores,fresh_egg_rows_dedup,fresh_egg_zips,fresh_egg_stores,fresh_egg_products,coverage_rate,states_with_eggs,median_products_per_egg_zip,price_capture_rate,count_capture_rate,size_capture_rate,exact_zip_overlap_with_walmart,strict_matches,strict_matched_zips,strict_walmart_lower_rate,strict_competitor_lower_rate,strict_parity_rate,strict_median_competitor_minus_walmart_per_dozen,relaxed_matches,relaxed_matched_zips,relaxed_walmart_lower_rate,relaxed_competitor_lower_rate,relaxed_parity_rate,relaxed_median_competitor_minus_walmart_per_dozen
walmart.com,Walmart,129262,4146,4596,108570,4071,4513,169,0.9819102749638206,52,24,1.0,0.9804550059869209,0.9344386110343558,4071,,,,,,,,,,,,
aldi.us,ALDI,13683,2472,2595,12976,2472,2595,8,1.0,40,5.0,1.0,1.0,0.8000154130702836,1543,1238,1151,0.44749596122778673,0.5525040387722132,0.0,-0.8699999999999997,4724,1543,0.45575783234546996,0.54424216765453,0.0,-0.020000000000000018
target.com,Target,65510,1997,2065,30209,1997,2065,29,1.0,51,14,0.5385812175179582,0.9740143665794961,0.8977788076401072,1005,34,34,1.0,0.0,0.0,1.4700000000000006,2740,996,0.9142335766423357,0.08576642335766424,0.0,1.2300000000000004
amazon.com,Amazon,63153,3939,0,18040,1380,0,95,0.3503427265803503,37,14.0,0.9995565410199556,1.0,0.9817627494456763,1338,895,688,0.6223463687150838,0.31508379888268156,0.06256983240223464,0.41999999999999993,5037,1307,0.7190788167560056,0.25749454040103237,0.02342664284296208,0.41999999999999993
safeway.com,Safeway,33667,764,869,24160,764,869,104,1.0,18,28.0,0.735182119205298,0.9990480132450331,0.8760347682119205,251,1042,251,0.8925143953934741,0.10748560460652591,0.0,2.829999999999999,2432,251,0.8297697368421053,0.17023026315789475,0.0,1.5200000000000002
traderjoes.com,Trader Joe's,10787,638,664,1298,625,648,2,0.9796238244514106,43,2,1.0,1.0,1.0,170,0,0,,,,,129,129,0.7054263565891473,0.29457364341085274,0.0,2.249999999999999
samsclub.com,Sam's Club,3879,600,601,2575,598,598,18,0.9966666666666667,45,4.0,1.0,1.0,0.9759223300970874,470,0,0,,,,,78,78,0.9487179487179487,0.05128205128205128,0.0,0.26800000000000024
albertsons.com,Albertsons,29550,336,747,20061,335,745,78,0.9970238095238095,16,27,1.0,1.0,0.8931259658042969,158,777,158,0.9227799227799228,0.07722007722007722,0.0,4.04,1928,158,0.91701244813278,0.08298755186721991,0.0,1.346666666666667
heb.com,H-E-B,9766,276,343,9137,276,343,45,1.0,1,27.0,1.0,1.0,0.9723103863412499,165,59,59,1.0,0.0,0.0,0.5800000000000001,1519,165,1.0,0.0,0.0,0.13000000000000034
meijer.com,Meijer,6803,271,275,3838,271,275,18,1.0,6,14,1.0,0.9997394476289734,0.9330380406461699,144,199,144,0.9899497487437185,0.010050251256281407,0.0,3.63,706,144,0.509915014164306,0.49008498583569404,0.0,0.01333333333333342
shoprite.com,ShopRite,7583,264,275,2984,264,275,13,1.0,6,5.0,1.0,1.0,1.0,71,430,71,0.8976744186046511,0.10232558139534884,0.0,1.83,504,71,0.9007936507936508,0.0992063492063492,0.0,1.83
gianteagle.com,Giant Eagle,6280,169,190,3556,169,190,28,1.0,5,14,1.0,0.6338582677165354,0.9921259842519685,56,322,56,0.8167701863354038,0.18322981366459629,0.0,0.020000000000000018,397,56,0.760705289672544,0.23929471032745592,0.0,0.020000000000000018
wegmans.com,Wegmans,5970,104,199,2399,104,199,15,1.0,9,13.0,1.0,0.7899124635264694,1.0,50,102,50,0.9411764705882353,0.058823529411764705,0.0,0.34999999999999964,341,50,1.0,0.0,0.0,0.1499999999999999
kroger.com,Kroger,996,38,38,964,38,38,43,1.0,12,26.0,0.9989626556016598,0.2676348547717842,1.0,21,57,21,1.0,0.0,0.0,3.13,78,21,0.9358974358974359,0.0641025641025641,0.0,2.8200000000000003
