Competitor,ZIP,State,Region,Count,Size,Color,Grade,Organic,Housing,Competitor Brand,Competitor Product,Competitor Price,Competitor $/Dozen,Walmart Brand,Walmart Product,Walmart Price,Walmart $/Dozen,Gap/Dozen,Outcome
albertsons.com,71854,AR,South,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
albertsons.com,71854,AR,South,12,Large,Brown,Unknown,true,Conventional/Unspecified,O Organics,O Organics Organic Eggs Large Brown - 12 Count,5.99,5.989999999999999,Eggland's Best,"Eggland's Best 100% USDA Organic Certified Large Brown Eggs, 12 count",5.96,5.96,0.02999999999999936,Walmart lower
albertsons.com,71854,AR,South,12,Large,White,Unknown,false,Conventional/Unspecified,Eggland's Best,Eggland's Best Classic Large White Eggs - 12 Count,3.99,3.99,Great Value,"Great Value Large White Eggs, 12 Count",1.47,1.47,2.5200000000000005,Walmart lower
albertsons.com,71854,AR,South,18,Large,White,Unknown,false,Conventional/Unspecified,Eggland's Best,Eggland's Best Classic Large White Eggs - 18 Count,5.99,3.993333333333333,Great Value,Great Value Large White Eggs 18 Count,2.17,1.4466666666666665,2.546666666666667,Walmart lower
albertsons.com,71854,AR,South,24,Large,White,Unknown,false,Conventional/Unspecified,Eggland's Best,Eggland's Best Classic Large White Eggs - 24 Count,6.99,3.4949999999999997,Eggland's Best,"Eggland's Best Large White Eggs, 24 Count",7.46,3.73,-0.23500000000000032,Competitor lower
albertsons.com,85032,AZ,West,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
albertsons.com,85032,AZ,West,12,Large,White,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large White Eggs - 12 Count,6.99,6.989999999999999,Eggland's Best,"Eggland's Best Cage Free Large White Eggs, 12 Count",4.46,4.46,2.5299999999999994,Walmart lower
albertsons.com,85032,AZ,West,18,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 18 Count,9.99,6.66,Marketside,Marketside Cage Free Large Brown Eggs 18 Count,3.93,2.62,4.04,Walmart lower
albertsons.com,85086,AZ,West,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
albertsons.com,85086,AZ,West,12,Large,White,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large White Eggs - 12 Count,6.99,6.989999999999999,Eggland's Best,"Eggland's Best Cage Free Large White Eggs, 12 Count",4.46,4.46,2.5299999999999994,Walmart lower
albertsons.com,85086,AZ,West,18,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 18 Count,9.99,6.66,Marketside,Marketside Cage Free Large Brown Eggs 18 Count,3.93,2.62,4.04,Walmart lower
albertsons.com,85206,AZ,West,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
albertsons.com,85206,AZ,West,12,Large,Brown,Unknown,true,Conventional/Unspecified,Eggland's Best,Eggland's Best 100% USDA Organic Certified Large Brown Eggs - 12 Count,8.99,8.99,Eggland's Best,"Eggland's Best 100% USDA Organic Certified Large Brown Eggs, 12 count",5.96,5.96,3.0300000000000002,Walmart lower
albertsons.com,85206,AZ,West,12,Large,White,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large White Eggs - 12 Count,6.99,6.989999999999999,Eggland's Best,"Eggland's Best Cage Free Large White Eggs, 12 Count",4.46,4.46,2.5299999999999994,Walmart lower
albertsons.com,85206,AZ,West,18,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 18 Count,9.99,6.66,Marketside,Marketside Cage Free Large Brown Eggs 18 Count,3.93,2.62,4.04,Walmart lower
albertsons.com,85209,AZ,West,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
albertsons.com,85209,AZ,West,12,Large,Brown,Unknown,true,Conventional/Unspecified,Eggland's Best,Eggland's Best 100% USDA Organic Certified Large Brown Eggs - 12 Count,8.99,8.99,Eggland's Best,"Eggland's Best 100% USDA Organic Certified Large Brown Eggs, 12 count",5.96,5.96,3.0300000000000002,Walmart lower
albertsons.com,85209,AZ,West,12,Large,White,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large White Eggs - 12 Count,6.99,6.989999999999999,Eggland's Best,"Eggland's Best Cage Free Large White Eggs, 12 Count",4.46,4.46,2.5299999999999994,Walmart lower
albertsons.com,85209,AZ,West,18,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 18 Count,9.99,6.66,Marketside,Marketside Cage Free Large Brown Eggs 18 Count,3.93,2.62,4.04,Walmart lower
albertsons.com,85213,AZ,West,12,Large,Brown,Unknown,false,Cage-Free,Eggland's Best,Eggland's Best Cage Free Large Brown Eggs - 12 Count,6.99,6.989999999999999,Marketside,"Marketside Large Cage-Free Brown Eggs, 12 Count - Allergen-Free",2.66,2.66,4.329999999999999,Walmart lower
