retailer,retailer_name,matches,matched_zips,walmart_lower_count,competitor_lower_count,parity_count,walmart_lower_rate,competitor_lower_rate,parity_rate,median_pack_gap,median_unit_gap_per_dozen,mean_unit_gap_per_dozen
albertsons.com,Albertsons,777,158,717,60,0,0.9227799227799228,0.07722007722007722,0.0,4.33,4.04,2.908315744315744
aldi.us,ALDI,1238,1151,554,684,0,0.44749596122778673,0.5525040387722132,0.0,-0.8699999999999997,-0.8699999999999997,-1.6198546042003226
amazon.com,Amazon,895,688,557,282,56,0.6223463687150838,0.31508379888268156,0.06256983240223464,0.41999999999999993,0.41999999999999993,-0.10703910614525147
gianteagle.com,Giant Eagle,322,56,263,59,0,0.8167701863354038,0.18322981366459629,0.0,0.020000000000000018,0.020000000000000018,0.6330124223602486
heb.com,H-E-B,59,59,59,0,0,1.0,0.0,0.0,0.5800000000000001,0.5800000000000001,0.5800000000000001
kroger.com,Kroger,57,21,57,0,0,1.0,0.0,0.0,3.13,3.13,2.591578947368421
meijer.com,Meijer,199,144,197,2,0,0.9899497487437185,0.010050251256281407,0.0,3.63,3.63,3.481457286432161
safeway.com,Safeway,1042,251,930,112,0,0.8925143953934741,0.10748560460652591,0.0,2.83,2.829999999999999,2.1428854766474723
samsclub.com,Sam's Club,0,0,0,0,0,,,,,,
shoprite.com,ShopRite,430,71,386,44,0,0.8976744186046511,0.10232558139534884,0.0,1.83,1.83,1.488271317829457
target.com,Target,34,34,34,0,0,1.0,0.0,0.0,1.4700000000000006,1.4700000000000006,2.196176470588236
traderjoes.com,Trader Joe's,0,0,0,0,0,,,,,,
wegmans.com,Wegmans,102,50,96,6,0,0.9411764705882353,0.058823529411764705,0.0,0.35000000000000053,0.34999999999999964,0.4856209150326793
