retailer,segment,count,size,color,grade,organic,housing,matches,walmart_lower,competitor_lower,parity,walmart_lower_rate,competitor_lower_rate,median_unit_gap,mean_unit_gap
albertsons.com,Cage-Free | Conventional | Large | Brown | Grade Unknown | 12 count,12,Large,Brown,Unknown,0,Cage-Free,157,157,0,0,1.0,0.0,4.329999999999999,4.145286624203821
albertsons.com,Conventional/Unspecified | Organic | Large | Brown | Grade Unknown | 12 count,12,Large,Brown,Unknown,1,Conventional/Unspecified,138,138,0,0,1.0,0.0,0.02999999999999936,0.6821739130434779
albertsons.com,Cage-Free | Conventional | Large | Brown | Grade Unknown | 18 count,18,Large,Brown,Unknown,0,Cage-Free,115,115,0,0,1.0,0.0,4.04,3.9704347826086956
albertsons.com,Cage-Free | Conventional | Large | White | Grade Unknown | 12 count,12,Large,White,Unknown,0,Cage-Free,100,100,0,0,1.0,0.0,5.52,5.011699999999999
albertsons.com,Conventional/Unspecified | Conventional | Large | White | Grade Unknown | 12 count,12,Large,White,Unknown,0,Conventional/Unspecified,58,58,0,0,1.0,0.0,2.5200000000000005,2.5200000000000005
albertsons.com,Conventional/Unspecified | Conventional | Large | White | Grade Unknown | 18 count,18,Large,White,Unknown,0,Conventional/Unspecified,56,56,0,0,1.0,0.0,2.546666666666667,2.546666666666667
albertsons.com,Cage-Free | Conventional | Large | White | Grade Unknown | 18 count,18,Large,White,Unknown,0,Cage-Free,40,40,0,0,1.0,0.0,4.213333333333334,3.7000000000000006
albertsons.com,Free-Range | Conventional | Large | Brown | Grade Unknown | 12 count,12,Large,Brown,Unknown,0,Free-Range,32,0,32,0,0.0,1.0,-2.2700000000000005,-2.645625
albertsons.com,Conventional/Unspecified | Conventional | Large | White | Grade Unknown | 24 count,24,Large,White,Unknown,0,Conventional/Unspecified,26,0,26,0,0.0,1.0,-0.23500000000000032,-0.23500000000000032
albertsons.com,Conventional/Unspecified | Conventional | Large | Brown | Grade Unknown | 12 count,12,Large,Brown,Unknown,0,Conventional/Unspecified,24,24,0,0,1.0,0.0,6.15,6.15
albertsons.com,Conventional/Unspecified | Conventional | Extra Large | White | Grade Unknown | 12 count,12,Extra Large,White,Unknown,0,Conventional/Unspecified,16,16,0,0,1.0,0.0,2.33,2.0425
albertsons.com,Conventional/Unspecified | Conventional | Extra Large | White | Grade Unknown | 18 count,18,Extra Large,White,Unknown,0,Conventional/Unspecified,12,12,0,0,1.0,0.0,2.5733333333333333,2.5733333333333333
albertsons.com,Conventional/Unspecified | Conventional | Large | Unknown | Grade Unknown | 60 count,60,Large,Unknown,Unknown,0,Conventional/Unspecified,2,0,2,0,0.0,1.0,-0.13600000000000034,-0.13600000000000034
