Retailer,Product ID,Title,Brand,Qualifying Fresh,Matchable,Shelf Stable,Exclusion Reason,Size,Volume oz,Fat/Type,Flavor,Organic,Lactose Free,Ultra-Filtered,A2,Omega-3/DHA,Grass-Fed,Kids,Protein-Fortified,Private Label,Covered ZIPs,Covered Stores,Min Price,Median Price,Max Price,URL
Walmart,20202900444,"Nurri Lactose Free Whole Ultra-Filtered Protein Milk, 52 fl oz",Nurri,True,True,False,,52 fl oz,52,Whole,Unflavored,False,True,True,False,False,False,False,True,False,1789,1879,6.88,6.88,6.88,https://www.walmart.com/ip/Nurri-Ultra-Filtered-Whole-Protein-Milk-Lactose-Free-20g-Protein-Milk-Low-Sugar-150-Calories-64-fl-oz/20202900444?classType=REGULAR
Walmart,20090105478,"Nurri Lactose Free 2% Reduced Fat Ultra-Filtered Protein Milk, 52 fl oz",Nurri,True,True,False,,52 fl oz,52,2%,Unflavored,False,True,True,False,False,False,False,True,False,1776,1862,6.88,6.88,6.88,https://www.walmart.com/ip/Nurri-nbsp-2-Reduced-Fat-nbsp-Ultra-Filtered-nbsp-Protein-Milk-nbsp-nbsp-Lactose-Free-20g-Protein-Milk-Low-Sugar-150-nbsp-Calories-nbsp-52-nbsp-fl-nb/20090105478?classType=REGULAR
Walmart,16864710228,"Feastables Protein Fortified Chocolate Milk, Shelf-Stable, 8 fl oz, 6 Pack",Unknown,False,False,True,,8 fl oz,8,Unspecified,Chocolate,False,False,False,False,False,False,False,True,False,0,0,,,,https://www.walmart.com/ip/Feastables-6ct-Chocolate-Milk-8oz/16864710228?classType=REGULAR
Walmart,10450114,"Great Value Whole Vitamin D Milk, Gallon",Great Value,True,True,False,,Gallon,128,Whole,Unflavored,False,False,False,False,False,False,False,False,True,4073,4509,3.34,3.34,3.34,https://www.walmart.com/ip/Great-Value-Whole-Vitamin-D-Milk-Gallon-Plastic-Jug-128-Fl-Oz/10450114?classType=REGULAR&athbdg=L1600
Walmart,10450115,"Great Value, 2% Reduced Fat Milk, Gallon",Great Value,True,True,False,,Gallon,128,2%,Unflavored,False,False,False,False,False,False,False,False,True,4083,4525,3.34,3.34,3.34,https://www.walmart.com/ip/Great-Value-2-Reduced-Fat-Milk-Gallon-Refrigerated/10450115?classType=REGULAR&athbdg=L1600
Walmart,18679766452,"Kemps Protein+ Lactose Free 2% Reduced Fat Chocolate Milk, 48 Fl. Oz.",Kemps,True,True,False,,48 fl oz,48,2%,Chocolate,False,True,False,False,False,False,False,False,False,89,90,4.72,4.72,4.72,https://www.walmart.com/ip/Kemps-Milk-Protein-Ultra-Filtered-ESL-Lactose-Free-2-Reduced-Fat-Chocolate-48-Fluid-Ounce-Plastic-Bottle/18679766452?classType=REGULAR
Walmart,10450118,"Great Value Milk Whole Vitamin D, Half Gallon, , 64 fl oz",Great Value,True,True,False,,Half Gallon,64,Whole,Unflavored,False,False,False,False,False,False,False,False,True,3960,4376,2,2,2,https://www.walmart.com/ip/Great-Value-Milk-Whole-Vitamin-D-Half-Gallon-Plastic-Jug-64oz/10450118?classType=REGULAR&athbdg=L1102
Walmart,10450119,"Great Value Milk, 2% Reduced Fat, Half Gallon, 64 fl oz",Great Value,True,True,False,,Half Gallon,64,2%,Unflavored,False,False,False,False,False,False,False,False,True,3986,4411,2,2,2,https://www.walmart.com/ip/Great-Value-Milk-2-Reduced-Fat-Half-Gallon-64-fl-oz-Jug/10450119?classType=REGULAR&athbdg=L1102
Walmart,10804304,"NIDO Kinder 1+ Powder Beverage Mix, Immunity Toddler Milk with Vitamins A, C, D, Iron to Support Growth, 56.3 oz Canister",Unknown,False,False,False,powder_formula,56.3 fl oz,56.3,Unspecified,Unflavored,False,False,False,False,False,False,False,False,False,0,0,,,,https://www.walmart.com/ip/Nestl-NIDO-Kinder-Toddler-Milk-Beverage-Powder-Mix-1-Years-47-Servings-per-Container-282-Total-Servings-6-Pack-56-3-oz/10804304?classType=REGULAR
Walmart,20056620187,"Nurri Lactose Free 2% Reduced Fat Chocolate Ultra-Filtered Protein Milk, 52 fl oz",Nurri,True,True,False,,52 fl oz,52,2%,Chocolate,False,True,True,False,False,False,False,True,False,1753,1839,6.88,6.88,6.88,https://www.walmart.com/ip/Nurri-nbsp-nbsp-2-Reduced-Fat-nbsp-Ultra-Filtered-nbsp-Protein-Milk-Chocolate-Lactose-Free-20g-Protein-Milk-Low-Sugar-150-nbsp-Calories-nbsp-52-nbsp/20056620187?classType=REGULAR
Walmart,20048421502,"Nurri Lactose Free 2% Reduced Fat Vanilla Ultra-Filtered Protein Milk, 52 fl oz",Nurri,True,True,False,,52 fl oz,52,2%,Vanilla,False,True,True,False,False,False,False,True,False,1745,1826,6.88,6.88,6.88,https://www.walmart.com/ip/Nurri-nbsp-nbsp-2-Reduced-Fat-nbsp-Ultra-Filtered-Protein-Milk-nbsp-Vanilla-Lactose-Free-20g-Protein-Milk-Low-Sugar-150-nbsp-Calories-nbsp-52-nbsp-fl/20048421502?classType=REGULAR
Walmart,12598368729,"Horizon Organic Growing Years Organic Whole Milk for Kids, 59 fl oz Carton",Horizon Organic,True,True,False,,59 fl oz,59,Whole,Unflavored,True,False,False,False,False,False,True,False,False,2162,2424,7.47,7.47,7.47,https://www.walmart.com/ip/Horizon-Organic-Growing-Years-Whole-Milk-with-DHA-Omega-3-59-fl-oz-Carton/12598368729?classType=REGULAR
Walmart,43984343,"fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk, 52 fl oz",fairlife,True,True,False,,52 fl oz,52,2%,Unflavored,False,True,True,False,False,False,False,False,False,3924,4342,4.78,4.78,4.78,https://www.walmart.com/ip/fairlife-Lactose-Free-2-Reduced-Fat-Ultra-Filtered-Milk-52-fl-oz/43984343?classType=REGULAR&athbdg=L1300
Walmart,43436773,"fairlife Lactose Free Ultra Filtered Whole Milk, 52 fl oz",fairlife,True,True,False,,52 fl oz,52,Whole,Unflavored,False,True,True,False,False,False,False,False,False,3675,4059,4.78,4.78,4.78,https://www.walmart.com/ip/fairlife-Lactose-Free-Ultra-Filtered-Whole-Milk-52-fl-oz/43436773?classType=REGULAR&athbdg=L1300
Walmart,10450116,"Great Value 1% Low-Fat Milk, Gallon",Great Value,True,True,False,,Gallon,128,1%,Unflavored,False,False,False,False,False,False,False,False,True,3949,4360,3.34,3.34,3.34,https://www.walmart.com/ip/Great-Value-1-Low-Fat-Milk-1-Gallon-Jug/10450116?classType=REGULAR&athbdg=L1200
Walmart,10804537,"Great Value Milk 1% Low-fat, Half Gallon, 64 fl oz",Great Value,True,True,False,,Half Gallon,64,1%,Unflavored,False,False,False,False,False,False,False,False,True,3791,4168,2,2,2,https://www.walmart.com/ip/Great-Value-Milk-1-Lowfat-Half-Gallon-Plastic-Jug/10804537?classType=REGULAR
Walmart,43984342,"fairlife Lactose Free Fat Free Ultra Filtered Milk, 52 fl oz",fairlife,True,True,False,,52 fl oz,52,Skim/Fat-Free,Unflavored,False,True,True,False,False,False,False,False,False,3742,4127,4.78,4.78,4.78,https://www.walmart.com/ip/fairlife-Lactose-Free-Fat-Free-Ultra-Filtered-Milk-52-fl-oz/43984342?classType=REGULAR&athbdg=L1300
Walmart,10450117,"Great Value Fat-Free Milk, Gallon, 128 fl oz",Great Value,True,True,False,,Gallon,128,Skim/Fat-Free,Unflavored,False,False,False,False,False,False,False,False,True,3779,4140,3.34,3.34,3.34,https://www.walmart.com/ip/Great-Value-Fat-Free-Milk-Gallon-Plastic-Jug-128-Fl-Oz/10450117?classType=REGULAR&athbdg=L1102
Walmart,21128314,"Kemps Select Whole Milk, Gallon",Kemps,True,True,False,,Gallon,128,Whole,Unflavored,False,False,False,False,False,False,False,False,False,149,153,3.98,3.98,3.98,https://www.walmart.com/ip/Kemps-Select-Whole-Milk-Gallon/21128314?classType=REGULAR
