competitor,comparison_mode,segment,matches,walmart_lower,competitor_lower,parity,walmart_lower_rate,competitor_lower_rate,parity_rate,median_gap_per_gallon,mean_gap_per_gallon
ALDI,private_label,Gallon | 2%,1550,1550,0,0,1.0,0.0,0.0,0.7599999999999998,0.7599999999999998
ALDI,private_label,Gallon | Whole,1547,1547,0,0,1.0,0.0,0.0,0.7599999999999998,0.7599999999999998
ALDI,private_label,Half Gallon | 2%,1519,1519,0,0,1.0,0.0,0.0,0.9000000000000004,0.9000000000000004
ALDI,private_label,Half Gallon | Whole,1505,1505,0,0,1.0,0.0,0.0,0.9000000000000004,0.9000000000000004
ALDI,private_label,Half Gallon | 1%,1442,1442,0,0,1.0,0.0,0.0,0.9000000000000004,0.9000000000000004
ALDI,private_label,Half Gallon | Whole | Lactose-Free,1436,0,1436,0,0.0,1.0,0.0,-0.17999999999999972,-0.17999999999999972
ALDI,private_label,Half Gallon | 2% | Lactose-Free,1403,0,1403,0,0.0,1.0,0.0,-0.17999999999999972,-0.17999999999999972
ALDI,private_label,Half Gallon | Skim/Fat-Free,1377,1377,0,0,1.0,0.0,0.0,0.9000000000000004,0.9000000000000004
ALDI,private_label,Half Gallon | Whole | Organic,1358,0,1358,0,0.0,1.0,0.0,-0.2400000000000002,-0.2400000000000002
ALDI,private_label,Half Gallon | 2% | Organic,1335,17,1318,0,0.012734082397003745,0.9872659176029962,0.0,-0.2400000000000002,-0.2309812734082399
ALDI,private_label,Gallon | 1%,1047,0,1047,0,0.0,1.0,0.0,-0.36999999999999966,-0.36999999999999966
ALDI,private_label,Half Gallon | 1% | Chocolate,651,651,0,0,1.0,0.0,0.0,1.5399999999999996,1.5399999999999996
ALDI,private_label,Gallon | Skim/Fat-Free,142,142,0,0,1.0,0.0,0.0,0.5500000000000003,0.5500000000000003
ALDI,private_label,Half Gallon | Whole | Organic | Omega-3/DHA,41,0,41,0,0.0,1.0,0.0,-0.2599999999999998,-0.2599999999999998
ALDI,equivalent,Half Gallon | 2%,1559,1519,40,0,0.9743425272610647,0.025657472738935216,0.0,0.9000000000000004,0.8089159717767803
ALDI,equivalent,Half Gallon | Whole,1556,1507,49,0,0.968508997429306,0.031491002570694086,0.0,0.9000000000000004,0.7863753213367612
ALDI,equivalent,Gallon | 2%,1555,1550,5,0,0.9967845659163987,0.003215434083601286,0.0,0.7599999999999998,0.7551254019292603
ALDI,equivalent,Gallon | Whole,1553,1552,1,0,0.9993560849967804,0.000643915003219575,0.0,0.7599999999999998,0.8076625885383127
ALDI,equivalent,Half Gallon | 1%,1505,1444,61,0,0.959468438538206,0.04053156146179402,0.0,0.9000000000000004,0.7172225913621266
ALDI,equivalent,Half Gallon | Whole | Organic,1493,0,1493,0,0.0,1.0,0.0,-0.2400000000000002,-0.6275820495646351
ALDI,equivalent,Half Gallon | 2% | Organic,1462,17,1445,0,0.011627906976744186,0.9883720930232558,0.0,-0.2400000000000002,-0.5898084815321479
ALDI,equivalent,Half Gallon | Whole | Lactose-Free,1436,0,1436,0,0.0,1.0,0.0,-0.17999999999999972,-0.17999999999999972
ALDI,equivalent,Half Gallon | Skim/Fat-Free,1413,1381,32,0,0.9773531493276716,0.02264685067232838,0.0,0.9000000000000004,0.7962915782024066
ALDI,equivalent,Half Gallon | 2% | Lactose-Free,1403,0,1403,0,0.0,1.0,0.0,-0.17999999999999972,-0.17999999999999972
ALDI,equivalent,Half Gallon | Whole | Organic | Omega-3/DHA,1233,0,1233,0,0.0,1.0,0.0,-4.140000000000001,-4.010981346309814
ALDI,equivalent,Gallon | 1%,1053,0,1053,0,0.0,1.0,0.0,-0.36999999999999966,-0.3765906932573596
ALDI,equivalent,Half Gallon | 1% | Chocolate,665,651,14,0,0.9789473684210527,0.021052631578947368,0.0,1.5399999999999996,1.4119999999999997
ALDI,equivalent,Gallon | Skim/Fat-Free,142,142,0,0,1.0,0.0,0.0,0.5500000000000003,0.5500000000000003
Amazon,same_brand,59 fl oz | Whole | Organic | Grass-Fed,977,317,330,330,0.32446264073694986,0.33776867963152507,0.33776867963152507,0.0,0.1807539510434924
