id,created_at,Store_No,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Provider,Status,Country,mc_location_id
158461,1784315055347,309,Abbeville Supercenter,29.972959,-92.095153,"3005 Charity Street, Abbeville, LA, 70510",3005 Charity Street,Abbeville,LA,70510,,,Walmart,active,USA,1998
158462,1784315055347,1520,Aberdeen Supercenter,45.456105,-98.436532,"3820 7th Ave Se, Aberdeen, SD, 57401",3820 7th Ave Se,Aberdeen,SD,57401,,,Walmart,active,USA,3655
158463,1784315055347,2037,Aberdeen Supercenter,46.975351,-123.806682,"909 E Wishkah St, Aberdeen, WA, 98520",909 E Wishkah St,Aberdeen,WA,98520,,,Walmart,active,USA,4491
158464,1784315055347,1968,Aberdeen Supercenter,39.494982,-76.177507,"645 S Philadelphia Blvd, Aberdeen, MD, 21001",645 S Philadelphia Blvd,Aberdeen,MD,21001,,,Walmart,active,USA,2154
158465,1784315055347,1097,Aberdeen Supercenter,35.159691,-79.424522,"250 Turner St, Aberdeen, NC, 28315",250 Turner St,Aberdeen,NC,28315,,,Walmart,active,USA,2626
158466,1784315055347,5715,Abilene Ambler Ave Neighborhood Market,32.473542,-99.738532,"1619 Ambler Ave, Abilene, TX, 79601",1619 Ambler Ave,Abilene,TX,79601,,,Walmart,active,USA,3886
158467,1784315055347,535,Abilene Sw Drive Supercenter,32.410829,-99.781697,"4350 Southwest Dr, Abilene, TX, 79606",4350 Southwest Dr,Abilene,TX,79606,,,Walmart,active,USA,4011
158468,1784315055347,2009,Abingdon Store,39.462158,-76.314835,"401 Constant Friendship Blvd, Abingdon, MD, 21009",401 Constant Friendship Blvd,Abingdon,MD,21009,,,Walmart,active,USA,2120
158469,1784315055347,154,Abingdon Supercenter,36.714643,-81.927722,"16032 Fifteen Mile Boulevard, Abingdon, VA, 24211",16032 Fifteen Mile Boulevard,Abingdon,VA,24211,,,Walmart,active,USA,4408
158470,1784315055347,2227,Abington Store,42.096303,-70.968505,"777 Brockton Ave, Abington, MA, 02351",777 Brockton Ave,Abington,MA,2351,,,Walmart,active,USA,1941754
158471,1784315055347,3748,Acworth Supercenter,34.048747,-84.697994,"3826 Cobb Pkwy Nw, Acworth, GA, 30101",3826 Cobb Pkwy Nw,Acworth,GA,30101,,,Walmart,active,USA,1366
158472,1784315055347,1158,Adamsville Supercenter,33.579051,-86.924237,"2473 Hackworth Rd, Adamsville, AL, 35214",2473 Hackworth Rd,Adamsville,AL,35214,,,Walmart,active,USA,37
158473,1784315055347,231,Ada Supercenter,34.789173,-96.656174,"1419 N Country Club Rd, Ada, OK, 74820",1419 N Country Club Rd,Ada,OK,74820,,,Walmart,active,USA,168
158474,1784315055347,5442,Addison Supercenter,41.949813,-88.034013,"1050 N Rohlwing Rd, Addison, IL, 60101",1050 N Rohlwing Rd,Addison,IL,60101,,,Walmart,active,USA,1621
158475,1784315055347,7194,Adel Supercenter,31.133142,-83.439947,"351 Alabama Rd, Adel, GA, 31620",351 Alabama Rd,Adel,GA,31620,,,Walmart,active,USA,1335
158476,1784315055347,1836,Adrian Supercenter,41.872722,-84.031302,"1601 E Us Highway 223, Adrian, MI, 49221",1601 E Us Highway 223,Adrian,MI,49221,,,Walmart,active,USA,2236
158477,1784315055347,1950,Ahoskie Supercenter,36.265229,-76.968785,"2150 Us 13 South, Ahoskie, NC, 27910",2150 Us 13 South,Ahoskie,NC,27910,,,Walmart,active,USA,143
158478,1784315055347,4487,Aiken Richland Ave W Supercenter,33.561311,-81.767285,"3581 Richland Ave W, Aiken, SC, 29801",3581 Richland Ave W,Aiken,SC,29801,,,Walmart,active,USA,3607
158479,1784315055347,514,Aiken Whiskey Rd Supercenter,33.518172,-81.719602,"2035 Whiskey Rd, Aiken, SC, 29803",2035 Whiskey Rd,Aiken,SC,29803,,,Walmart,active,USA,3571
158480,1784315055347,1911,Akron Supercenter,40.992552,-81.489164,"2887 S Arlington Rd, Akron, OH, 44312",2887 S Arlington Rd,Akron,OH,44312,,,Walmart,active,USA,3207
158481,1784315055347,423,Alabaster Colonial Promenade Parkway Supercenter,33.235531,-86.801229,"630 Colonial Promenade Pkwy, Alabaster, AL, 35007",630 Colonial Promenade Pkwy,Alabaster,AL,35007,,,Walmart,active,USA,243
158482,1784315055347,4756,Alabaster Hwy 119 Neighborhood Market,33.212135,-86.829994,"9085 Hwy 119, Alabaster, AL, 35007",9085 Hwy 119,Alabaster,AL,35007,,,Walmart,active,USA,280
158483,1784315055347,5726,Alamogordo Indian Wells Rd Neighborhood Market,32.916471,-105.930635,"2401 Indian Wells Road, Alamogordo, NM, 88310",2401 Indian Wells Road,Alamogordo,NM,88310,,,Walmart,active,USA,2771
158484,1784315055347,1306,Alamogordo S New York Ave Supercenter,32.887274,-105.957585,"233 S New York Ave, Alamogordo, NM, 88310",233 S New York Ave,Alamogordo,NM,88310,,,Walmart,active,USA,2907
158485,1784315055347,869,Alamosa Supercenter,37.482248,-105.904093,"3333 Clark St, Alamosa, CO, 81101",3333 Clark St,Alamosa,CO,81101,,,Walmart,active,USA,889
