Store_No,Name,Address,Street,City,State,Zip_Code,Latitude,Longitude,Provider,Status,Country,mc_location_id
23261,Aldi - Mtj 38 - Alabaster,"113 Simmsville Rd, Alabaster, AL, 35007",113 Simmsville Rd,Alabaster,AL,35007,33.2398613,-86.8155225,ALDI,active,USA,2378019
480567,Aldi - Lox 245 - Alexander City,"1061 Us Hwy 280, Alexander City, AL, 35010",1061 Us Hwy 280,Alexander City,AL,35010,32.9219162,-85.9612655,ALDI,active,USA,2378037
143816,Aldi - Mtj 101 - Anniston,"5303 Mcclellan Blvd, Anniston, AL, 36206",5303 Mcclellan Blvd,Anniston,AL,36206,33.7146942,-85.8189693,ALDI,active,USA,2378007
24399,Aldi - Mtj 86 - Athens,"115 Us 72, Athens, AL, 35611",115 Us 72,Athens,AL,35611,34.7905179,-86.968001,ALDI,active,USA,2378040
396756,Aldi - Lox 197 - Auburn,"1617 South College Street, Auburn, AL, 36832",1617 South College Street,Auburn,AL,36832,32.5763561,-85.4964405,ALDI,active,USA,2378353
23262,Aldi - Mtj 31 - Bessemer,"710 Academy Dr, Bessemer, AL, 35022",710 Academy Dr,Bessemer,AL,35022,33.3588861,-87.0000178,ALDI,active,USA,2378354
396460,Aldi - Mtj 195 - Bessemer,"2910 Morgan Road Suite 128, Bessemer, AL, 35022",2910 Morgan Road Suite 128,Bessemer,AL,35022,33.3351102,-86.9193033,ALDI,active,USA,2378031
23266,Aldi - Mtj 33 - Birmingham,"7400 Crestwood Blvd, Birmingham, AL, 35210",7400 Crestwood Blvd,Birmingham,AL,35210,33.5306885,-86.7272557,ALDI,active,USA,2378352
23267,Aldi - Mtj 35 - Birmingham,"5485 Patrick Way, Birmingham, AL, 35235",5485 Patrick Way,Birmingham,AL,35235,33.6103969,-86.6234967,ALDI,active,USA,2378016
23268,Aldi - Mtj 72 - Birmingham,"4639 Hwy 280 Ste 101, Birmingham, AL, 35242",4639 Hwy 280 Ste 101,Birmingham,AL,35242,33.4263159,-86.7028836,ALDI,active,USA,2378015
23650,Aldi - Mtj 34 - Birmingham,"520 Gene Reed Rd, Birmingham, AL, 35215",520 Gene Reed Rd,Birmingham,AL,35215,33.5981085,-86.6944291,ALDI,active,USA,2378025
538574,Aldi - Mtj 209 - Chelsea,"150 Chelsea Corners Way, Chelsea, AL, 35043",150 Chelsea Corners Way,Chelsea,AL,35043,33.3463608,-86.6308744,ALDI,active,USA,2378355
24396,Aldi - Mtj 39 - Cullman,"1831 Cherokee Ave Sw, Cullman, AL, 35055",1831 Cherokee Ave Sw,Cullman,AL,35055,34.1534455,-86.8420733,ALDI,active,USA,2378348
142054,Aldi - Lox 47 - Daphne,"27060 Us Hwy 98, Daphne, AL, 36526",27060 Us Hwy 98,Daphne,AL,36526,30.6193947,-87.9043579,ALDI,active,USA,2378030
24398,Aldi - Mtj 98 - Decatur,"1413 Beltline Road, Decatur, AL, 35601",1413 Beltline Road,Decatur,AL,35601,34.5635839,-87.010162,ALDI,active,USA,2378032
538567,Aldi - Lox 239 - Dothan,"1151 Ross Clark Circle Suite 100, Dothan, AL, 36301",1151 Ross Clark Circle Suite 100,Dothan,AL,36301,31.2127891,-85.3601204,ALDI,active,USA,2378045
570541,Aldi - Lox 237 - Dothan,"1571 Westgate Parkway, Dothan, AL, 36303",1571 Westgate Parkway,Dothan,AL,36303,31.2594,-85.4321573,ALDI,active,USA,2378038
