retailer,provider,domain,endpoint_id,endpoint_name,method,credits,cpg_endpoint_path,inferred_metricscart_path,required_params,all_params,default_params,example_direct_metricscart_url
"Albertsons","albertsons","albertsons.com","11","Albertsons Product Details Zipcode","GET","3","/albertsons/pdp/zipcode","/mc/albertsons/pdp/zipcode","url|zipcode|store","url|zipcode|store","url=https://www.albertsons.com/shop/product-details.960547257.html|zipcode=90027|store=387","https://api.metricscart.com/mc/albertsons/pdp/zipcode?url=https%3A%2F%2Fwww.albertsons.com%2Fshop%2Fproduct-details.960547257.html&zipcode=90027&store=387&x-api-key=YOUR_METRICSCART_API_KEY"
"Aldi (Instacart)","shop_aldi","shop.aldi.us","16","Shop Aldi Product Details Zipcode","GET","3","/shop_aldi/pdp/zipcode","/mc/shop_aldi/pdp/zipcode","zipcode|store","url|product_id|zipcode|store","url=Product URL|product_id=123803|zipcode=07036|store=23258","https://api.metricscart.com/mc/shop_aldi/pdp/zipcode?url=Product+URL&product_id=123803&zipcode=07036&store=23258&x-api-key=YOUR_METRICSCART_API_KEY"
"ALDI","new_aldi","aldi.us","14","Aldi US Product Details Zipcode","GET","1","/new_aldi/pdp/zipcode","/mc/new_aldi/pdp/zipcode","zipcode|store|fulfillment_type","url|product_id|zipcode|store|fulfillment_type","url=Product URL|product_id=0000000000008696|zipcode=90001|store=479-149|fulfillment_type=pickup","https://api.metricscart.com/mc/new_aldi/pdp/zipcode?url=Product+URL&product_id=0000000000008696&zipcode=90001&store=479-149&fulfillment_type=pickup&x-api-key=YOUR_METRICSCART_API_KEY"
"Amazon (US)","amazon","amazon.com","41","Amazon Product Details Zipcode","GET","2","/amazon/pdp/zipcode","/mc/amazon/pdp/zipcode","","product_id|url|zipcode","product_id=B0DN1ZTN12|url=Product URL|zipcode=90001","https://api.metricscart.com/mc/amazon/pdp/zipcode?product_id=B0DN1ZTN12&url=Product+URL&zipcode=90001&x-api-key=YOUR_METRICSCART_API_KEY"
"H-E-B","heb","heb.com","93","Heb Product Details Zipcode","GET","1","/heb/pdp/zipcode","/mc/heb/pdp/zipcode","zipcode|store","url|product_id|zipcode|store","url=Product URL|product_id=5819025|zipcode=77084|store=497","https://api.metricscart.com/mc/heb/pdp/zipcode?url=Product+URL&product_id=5819025&zipcode=77084&store=497&x-api-key=YOUR_METRICSCART_API_KEY"
"kroger","kroger","kroger.com","105","Kroger Product Details Zipcode","GET","1","/kroger/pdp/zipcode","/mc/kroger/pdp/zipcode","fulfillment_type","url|product_id|zipcode|store|fulfillment_type","url=Product URL|product_id=0008768400107|zipcode=37218|store=02600533|fulfillment_type=pickup","https://api.metricscart.com/mc/kroger/pdp/zipcode?url=Product+URL&product_id=0008768400107&zipcode=37218&store=02600533&fulfillment_type=pickup&x-api-key=YOUR_METRICSCART_API_KEY"
"Safeway","safeway","safeway.com","151","Safeway Product Details Zipcode","GET","3","/safeway/pdp/zipcode","/mc/safeway/pdp/zipcode","zipcode|store","url|product_id|zipcode|store","url=Product URL|product_id=105300071|zipcode=94611|store=3132","https://api.metricscart.com/mc/safeway/pdp/zipcode?url=Product+URL&product_id=105300071&zipcode=94611&store=3132&x-api-key=YOUR_METRICSCART_API_KEY"
"Target","target","target.com","172","Target Product Details Zipcode","GET","3","/target/pdp/zipcode","/mc/target/pdp/zipcode","zipcode|store|fulfillment_type","product_id|url|zipcode|store|fulfillment_type","product_id=Product ID|url=https://www.target.com/p/cottonelle-ultra-comfortcare-toilet-paper-12-mega-rolls/-/A-75665830|zipcode=68203|store=2485|fulfillment_type=pickup","https://api.metricscart.com/mc/target/pdp/zipcode?product_id=Product+ID&url=https%3A%2F%2Fwww.target.com%2Fp%2Fcottonelle-ultra-comfortcare-toilet-paper-12-mega-rolls%2F-%2FA-75665830&zipcode=68203&store=2485&fulfillment_type=pickup&x-api-key=YOUR_METRICSCART_API_KEY"
"Walmart (Mexico)","walmart_mx","walmart.com.mx","189","Walmart MX Product Details Zipcode","GET","1","/walmart_mx/product/zipcode","/mc/walmart_mx/product/zipcode","zipcode","url|product_id|zipcode","url=Product URL|product_id=00076753168201|zipcode=15270","https://api.metricscart.com/mc/walmart_mx/product/zipcode?url=Product+URL&product_id=00076753168201&zipcode=15270&x-api-key=YOUR_METRICSCART_API_KEY"
"Walmart (US)","walmart","walmart.com","3","Walmart Product Details Zipcode","GET","2","/walmart/product/zipcode","/mc/walmart/product/zipcode","zipcode|store|fulfillment_type","url|product_id|zipcode|store|fulfillment_type","url=Product URL|product_id=677669806|zipcode=90020|store=2464|fulfillment_type=pickup","https://api.metricscart.com/mc/walmart/product/zipcode?url=Product+URL&product_id=677669806&zipcode=90020&store=2464&fulfillment_type=pickup&x-api-key=YOUR_METRICSCART_API_KEY"
