retailer_id,provider,domain,endpoint_id,method,inferred_metricscart_path,credits,required_params,all_params,sample_response_sha256
albertsons_us,albertsons,albertsons.com,11,GET,/mc/albertsons/pdp/zipcode,3,url|zipcode|store,url|zipcode|store,bd0072309c3f8fddd4dc9254edc17940c698b056e8e4e771ba02d09616b4ec53
aldi_us,new_aldi,aldi.us,14,GET,/mc/new_aldi/pdp/zipcode/,1,zipcode|store|fulfillment_type,url|product_id|zipcode|store|fulfillment_type,52c00fb78ba34b458cceb8c1c7c759b0a5c379ebfe4bdb716c60ef5c12921a9d
aldi_instacart_us,shop_aldi,shop.aldi.us,16,GET,/mc/shop_aldi/pdp/zipcode,3,zipcode|store,url|product_id|zipcode|store,e10525a28b2b52ea6146bfcd05ec30c4091216d35c3ce63fbb26bb49e69db68b
amazon_us_same_day,amazon,amazon.com,41,GET,/mc/amazon/pdp/zipcode,2,,product_id|url|zipcode,789ed9e9c5f6222536ee2a8db6d481e8c160fd51660c3d493a800ae62672962d
giant_eagle_us,gianteagle,gianteagle.com,88,GET,/mc/gianteagle/pdp/zipcode/,2,zipcode|store,url|product_id|zipcode|store,05c5d2534bb49cbbe1c330119d22a155d2ab1f7db8da9e12cd59311d77699fde
heb_us,heb,heb.com,93,GET,/mc/heb/pdp/zipcode/,1,zipcode|store,url|product_id|zipcode|store,8a4d036be88d445295951faac8ddf6e6fc09f44f8622631bc3b0fde40c30a772
kroger_us,kroger,kroger.com,105,GET,/kroger/pdp/zipcode/,1,fulfillment_type,url|product_id|zipcode|store|fulfillment_type,2867603b41d0142fb060e6ff579a19ebf0ef0ab84ca14e2f9686b3ecaa1ea8b1
meijer_us,meijer,meijer.com,116,GET,/mc/meijer/pdp/zipcode,2,zipcode|store,url|product_id|zipcode|store,4ac6ee886e78378ea4e471f0e28191e4c45883f89b16f4a99ef6188a339ffccf
safeway_us,safeway,safeway.com,151,GET,/mc/safeway/pdp/zipcode/,3,zipcode|store,url|product_id|zipcode|store,c9505b6888b73b765ec4d1396ecbdfa7ab111e530b4d315626abd2f721660b6d
sams_club_us,samsclub,samsclub.com,155,GET,/mc/samsclub/pdp/zipcode,2,zipcode|store|fulfillment_type,url|zipcode|store|fulfillment_type,b23f3be68c259df2a3c1fdcf4ee7f3e68327e80c794e2e76d80d839d3dab6672
shoprite_us,shoprite,shoprite.com,162,GET,/mc/shoprite/pdp/zipcode/,1,zipcode|store|shopping_type,url|product_id|zipcode|store|shopping_type,a774dfa4c53ba47da04024f43fec4ae315b092f8dc2266dccde0668eac7db3f7
target_us,target,target.com,172,GET,/mc/target/pdp/zipcode,3,zipcode|store|fulfillment_type,product_id|url|zipcode|store|fulfillment_type,c2fa1bab2a65df3a7cada88c9436c72c828503a77a27f3cfed2b7757c4123a0c
trader_joes_us,traderjoes,traderjoes.com,178,GET,/mc/traderjoes/pdp/zipcode/,1,zipcode|store,url|product_id|zipcode|store,f6622d48f04402f2754ca9d3f32c0458da4f4c57b5fdf39e1e07928fcb9ff38d
walmart_us,walmart,walmart.com,3,GET,/mc/walmart/product/zipcode/,2,zipcode|store|fulfillment_type,url|product_id|zipcode|store|fulfillment_type,01d79ebf8d73246d0ca6f89a670b3d1376445deaa79f2cd214bf887550c42ce9
walmart_mx,walmart_mx,walmart.com.mx,189,GET,/mc/walmart_mx/product/zipcode/,1,zipcode,url|product_id|zipcode,a2573e091bf9396eda6a5254478013ab0c6691ae0551e02fb23d267b4a30ee4f
wegmans_us,wegmans,wegmans.com,194,GET,/mc/wegmans/pdp/zipcode,1,zipcode|store,url|product_id|zipcode|store,49745b10fa10a8998463acec081a446d19a77def0c3be0e2efad889945c6a68d
